"","Z","PDF","CDF"
"37",-4.14,7.56995355301612e-05,1.73652910736041e-05
"38",-4.13,7.88953290142931e-05,1.81381617181309e-05
"39",-4.12,8.2217816536286e-05,1.89436199505532e-05
"40",-4.11,8.56716550561819e-05,1.9782955868224e-05
"41",-4.1,8.92616571771329e-05,2.06575069125468e-05
"42",-4.09,9.29927957184459e-05,2.15686594481806e-05
"43",-4.08,9.68702083987193e-05,2.25178503885254e-05
"44",-4.07,0.000100899202630814,2.35065688685956e-05
"45",-4.06,0.0001050852604304,2.45363579664098e-05
"46",-4.05,0.000109434043439801,2.56088164740415e-05
"47",-4.04,0.000113951398068865,2.67256007194921e-05
"48",-4.03,0.000118643360754566,2.78884264405639e-05
"49",-4.02,0.000123516163341024,2.9099070711931e-05
"50",-4.01,0.000128576238581621,3.03593739266182e-05
"51",-4,0.000133830225764885,3.16712418331199e-05
"52",-3.99,0.00013928497646576,3.30366476294024e-05
"53",-3.98,0.000144947560423891,3.44576341150531e-05
"54",-3.97,0.000150825271550518,3.59363159028538e-05
"55",-3.96,0.000156925634065532,3.74748816910734e-05
"56",-3.95,0.000163256408766242,3.90755965977875e-05
"57",-3.94,0.000169825599429344,4.07408045585507e-05
"58",-3.93,0.000176641459347571,4.24729307887612e-05
"59",-3.92,0.000183712498002457,4.42744843120707e-05
"60",-3.91,0.000191047487874598,4.61480605562088e-05
"61",-3.9,0.000198655471392773,4.80963440176027e-05
"62",-3.89,0.000206545768023225,5.01221109961883e-05
"63",-3.88,0.000214727981500367,5.22282324018202e-05
"64",-3.87,0.000223212007200102,5.44176766336997e-05
"65",-3.86,0.000232008039656942,5.66935125342566e-05
"66",-3.85,0.000241126580225993,5.90589124189225e-05
"67",-3.84,0.000250578444890861,6.15171551832553e-05
"68",-3.83,0.000260374772218442,6.40716294888745e-05
"69",-3.82,0.000270527031461521,6.67258370296848e-05
"70",-3.81,0.000281047030809986,6.94833958798652e-05
"71",-3.8,0.00029194692579146,7.23480439251201e-05
"72",-3.79,0.000303239227822004,7.53236423786833e-05
"73",-3.78,0.000314936812907522,7.84141793835849e-05
"74",-3.77,0.000327052930496375,8.16237737026861e-05
"75",-3.76,0.000339601212483655,8.49566784979979e-05
"76",-3.75,0.000352595682367445,8.84172852008039e-05
"77",-3.74,0.000366050764557335,9.20101274741054e-05
"78",-3.73,0.000379981293835321,9.57398852689145e-05
"79",-3.72,0.000394402524969157,9.96113889759167e-05
"80",-3.71,0.000409330142478079,0.000103629623674031
